Genus,0-F-T-A-1,0-F-T-A-2,0-F-T-1,0-F-T-2,0-F-A-1,0-F-A-2,24-F-T-A-1,24-F-T-A-2,24-F-T-1,24-F-T-2,24-F-A-1,24-F-A-2
candidatus babela,0.000215506,0.000245218,0.000236323,0.000224858,4.84684E-05,5.05204E-05,4.28412E-05,0,0.00016771,0.000149365,5.22002E-05,9.85999E-05
syntrophorhabdus,0.001077528,0.000367827,0,0,0.006203955,0.005456199,0.000128524,9.11826E-05,0,9.95768E-05,0.000261001,0.0001972
flavisolibacter,0.00420236,0.005762629,0.006321635,0.005621451,0.000339279,0.000101041,8.56825E-05,0,0.00033542,0.000199154,0,0
flavobacterium,0.007973708,0.008521334,0.009748316,0.012086121,0.000533152,0.000656765,0,0.000273548,0.000782648,0.001095345,0,0
thermaerobacter,0,0,0,0,0,0,4.28412E-05,0,0,0,0,0
rhizomicrobium,0.001185281,0.001471309,0.001181614,0.001798864,0.000242342,0.000303122,8.56825E-05,9.11826E-05,0.000111807,0.000199154,0,9.85999E-05
derxia,0.001939551,0.002574792,0.003072197,0.002248581,0.000630089,0.000555724,0.000171365,0.000227957,0.001173971,0.000697038,5.22002E-05,9.85999E-05
acidibacter,0.000107753,0,0.000236323,0.000168644,0.000145405,5.05204E-05,4.28412E-05,0,0.00016771,0.000199154,0,0
cloacibacterium,0.00075427,0.000490436,0.000708968,0.000337287,0.000193874,0.000151561,0.000642618,0.00068387,0.002683363,0.00248942,0.000678603,4.92999E-05
ruminiclostridium,0,0,0,0,0,0,0.025233485,0.031731558,0.008944544,0.009061489,0.007673435,0.003697496
terrabacter,0.000161629,0.000122609,0.000295404,0.000224858,4.84684E-05,0,0.000171365,0.000410322,0.000447227,0.000597461,5.22002E-05,4.92999E-05
paracoccus,0.000915899,0.001410005,0.001890583,0.001686435,9.69368E-05,0.000151561,0.000128524,9.11826E-05,0.00016771,9.95768E-05,0,0
dioscorea,0.000431011,0.000613046,0.001477018,0.001686435,0.008336565,0.009396787,0,0,0,0,0.000156601,9.85999E-05
candidatus competibacter,0.020796293,0.020659637,0.021387215,0.021586374,0.000678558,0.000808326,0,0,5.59034E-05,0,5.22002E-05,0
thermanaerothrix,0.00134691,0.001042178,0.00165426,0.002079937,4.84684E-05,5.05204E-05,0,0,0,0,0,0
diaphorobacter,0.000808146,0.000551741,0.00082713,0.000730789,0.000193874,0.000353643,8.56825E-05,9.11826E-05,0.000726744,0.000597461,5.22002E-05,0
anaerofilum,0,0,0,0,0,0,8.56825E-05,0.000182365,0.001397585,0.001095345,0.001722608,0.000591599
caedibacter,0.000646517,0.000980873,0.001063453,0.000393502,9.69368E-05,5.05204E-05,4.28412E-05,0.000182365,0.000447227,0.000448096,0,0
gemmatimonas,0.000862023,0.001226091,0.001772421,0.001461577,0.000145405,0.000606244,8.56825E-05,0,0.00016771,0.00029873,0.000208801,4.92999E-05
lutispora,0,0,0,0,0,0,0.014994431,0.013039117,0.007435152,0.013343291,0,0.0002465
moorella,0.002047303,0.002758705,0.00082713,0.000843218,0.008627375,0.008891583,0.000642618,0.000227957,0,0,0.002871013,0.004141195
halospirulina,0.000269382,0.000429132,0.00082713,0.000843218,0.002665762,0.002374457,0,0,0,0,0,0
